Ft,Ewltp (g/km)
e85,159.59791955617197
diesel,144.48968192227153
petrol,134.43216849741304
other,123.0941504178273
lpg,121.1121298482372
ng-biomethane,113.26262944029361
ng,104.92217048710602
petrol-electric,41.88831245120652
diesel-electric,39.10963750985027
electric,0.0
